"Item type","Authors","Editors","Title","Publication year","Publisher","Address","Date published","Date accessed","URLs","Keywords","Short title","Series"
"Book","Anstey F","","The Brass Bottle","1900","","","1900","2017-09-10","https://www.gutenberg.org/ebooks/30689","ChiLit","brass",""
"Book","Crockett SR","","The Surprising Adventures of Sir Toady Lion with Those of General Napoleon Smith","1897","","","1897","2017-09-10","https://www.gutenberg.org/ebooks/39340","ChiLit","toadylion",""
"Book","Mare W","","The Three Mulla-mulgars","1910","","","1910","2017-09-10","https://www.gutenberg.org/ebooks/32620","ChiLit","mulgars",""
"Book","Ewing JH","","Mrs. Overtheway's Remembrances","1869","","","1869","2017-09-10","https://www.gutenberg.org/ebooks/17772","ChiLit","overtheway",""
"Book","Ewing JH","","Jackanapes","1883","","","1883","2017-09-10","https://www.gutenberg.org/ebooks/20351","ChiLit","jackanapes",""
"Book","Falkner JM","","Moonfleet","1898","","","1898","2017-09-10","https://www.gutenberg.org/ebooks/10743","ChiLit","moonfleet",""
"Book","Farrar FW","","Eric; Or, Little by Little","1858","","","1858","2017-09-10","https://www.gutenberg.org/ebooks/12083","ChiLit","eric",""
"Book","Farrow GE","","Adventures in Wallypug-Land","1898","","","1898","2017-09-10","https://www.gutenberg.org/ebooks/52393","ChiLit","wallypug",""
"Book","Grahame K","","The Golden Age","1895","","","1895","2017-09-10","https://www.gutenberg.org/ebooks/291","ChiLit","goldenage",""
"Book","Grahame K","","Dream Days","1898","","","1898","2017-09-10","https://www.gutenberg.org/ebooks/35187","ChiLit","dreamdays",""
"Book","Haggard HR","","King Solomon's Mines","1885","","","1885","2017-09-10","https://www.gutenberg.org/ebooks/2166","ChiLit","solomons",""
"Book","Haggard HR","","Allan Quatermain","1887","","","1887","2017-09-10","https://www.gutenberg.org/ebooks/711","ChiLit","quatermain",""
"Book","Henty GA","","With Clive in India; Or, The Beginnings of an Empire","1884","","","1884","2017-09-10","https://www.gutenberg.org/ebooks/18833","ChiLit","clive",""
"Book","Henty GA","","Winning His Spurs. A Tale of the Crusades","1882","","","1882","2017-09-10","https://www.gutenberg.org/ebooks/12308","ChiLit","winning",""
"Book","Hughes T","","Tom Brown’s Schooldays","1857","","","1857","2017-09-10","https://www.gutenberg.org/ebooks/1480","ChiLit","tombrown",""
"Book","Ingelow J","","Mopsa the Fairy","1869","","","1869","2017-09-10","https://www.gutenberg.org/ebooks/32867","ChiLit","mopsa",""
"Book","Jefferies R","","Wood Magic, a Fable","1881","","","1881","2017-09-10","https://www.gutenberg.org/ebooks/25299","ChiLit","woodmagic",""
"Book","Kingsley C","","Madam How and Lady Why; Or, First Lessons in Earth Lore for Children","1870","","","1870","2017-09-10","https://www.gutenberg.org/ebooks/1697","ChiLit","howwhy",""
"Book","Kipling R","","Stalky and Co","1899","","","1899","2017-09-10","https://www.gutenberg.org/ebooks/3006","ChiLit","stalky",""
"Book","Lang A","","Prince Prigio","1889","","","1889","2017-09-10","https://www.gutenberg.org/ebooks/21935","ChiLit","prigio",""
"Book","Marryat F","","The Settlers in Canada","1844","","","1844","2017-09-10","https://www.gutenberg.org/ebooks/22496","ChiLit","canada",""
"Book","Marryat F","","Masterman Ready; Or, The Wreck of the “Pacific”","1841","","","1841","2017-09-10","https://www.gutenberg.org/ebooks/21552","ChiLit","masterman",""
"Book","Martineau H","","The Settlers at Home","1841","","","1841","2017-09-10","https://www.gutenberg.org/ebooks/23264","ChiLit","settlers",""
"Book","Martineau H","","The Peasant and the Prince","1841","","","1841","2017-09-10","https://www.gutenberg.org/ebooks/23275","ChiLit","peasant",""
"Book","Martineau H","","Feats on the Fiord","1841","","","1841","2017-09-10","https://www.gutenberg.org/ebooks/35892","ChiLit","fiord",""
"Book","Martineau H","","The Crofton Boys","1841","","","1841","2017-09-10","https://www.gutenberg.org/ebooks/23265","ChiLit","crofton",""
"Book","Meade LT","","A World of Girls: The Story of a School","1886","","","1886","2017-09-10","https://www.gutenberg.org/ebooks/43147","ChiLit","girls",""
"Book","Molesworth NA","","The Cuckoo Clock","1877","","","1877","2017-09-10","https://www.gutenberg.org/ebooks/15569","ChiLit","cuckoo",""
"Book","Molesworth NA","","The Tapestry Room: A Child's Romance","1879","","","1879","2017-09-10","https://www.gutenberg.org/ebooks/17175","ChiLit","tapestry",""
"Book","Molesworth NA","","The Carved Lions","1895","","","1895","2017-09-10","https://www.gutenberg.org/ebooks/39549","ChiLit","carved",""
"Book","Nesbit E","","The Book of Dragons","1899","","","1899","2017-09-10","https://www.gutenberg.org/ebooks/23661","ChiLit","dragons",""
"Book","Nesbit E","","The Story of the Treasure Seekers","1899","","","1899","2017-09-10","https://www.gutenberg.org/ebooks/770","ChiLit","seekers",""
"Book","Nesbit E","","Nine Unlikely Tales","1901","","","1901","2017-09-10","https://www.gutenberg.org/ebooks/49913","ChiLit","unlikely",""
