CASE	ORDER	SUBORDTYPE	LEN_MC	LEN_SC	LENGTH_DIFF	CONJ	MORETHAN2CL
4777	sc-mc	temp	4	10	-6	als/when	no
1698	mc-sc	temp	7	6	1	als/when	no
953	sc-mc	temp	12	7	5	als/when	yes
1681	mc-sc	temp	6	15	-9	als/when	no
4055	sc-mc	temp	9	5	4	als/when	yes
967	sc-mc	temp	9	5	4	als/when	yes
2658	mc-sc	temp	9	12	-3	als/when	no
2502	sc-mc	temp	4	2	2	als/when	yes
4455	sc-mc	temp	6	24	-18	als/when	no
2368	sc-mc	temp	4	11	-7	als/when	no
1729	sc-mc	temp	15	4	11	als/when	yes
4546	sc-mc	temp	11	3	8	als/when	no
586	sc-mc	temp	10	11	-1	als/when	yes
4608	mc-sc	temp	5	11	-6	als/when	yes
935	sc-mc	temp	6	6	0	als/when	yes
2108	sc-mc	temp	9	11	-2	als/when	no
4317	mc-sc	temp	10	11	-1	als/when	no
4318	mc-sc	temp	8	7	1	als/when	no
2385	sc-mc	temp	13	7	6	als/when	no
4723	mc-sc	temp	6	13	-7	als/when	no
3267	mc-sc	temp	14	4	10	als/when	yes
4558	mc-sc	temp	5	3	2	als/when	yes
1747	sc-mc	temp	6	4	2	als/when	yes
623	sc-mc	temp	10	5	5	als/when	yes
4507	sc-mc	temp	14	20	-6	als/when	yes
138	sc-mc	temp	11	5	6	als/when	no
80	sc-mc	temp	7	3	4	als/when	yes
952	mc-sc	temp	4	5	-1	als/when	yes
2602	mc-sc	temp	2	9	-7	als/when	no
599	sc-mc	temp	7	6	1	als/when	yes
4037	sc-mc	temp	24	8	16	als/when	yes
4467	sc-mc	temp	4	10	-6	als/when	no
4324	mc-sc	temp	5	17	-12	als/when	yes
2928	mc-sc	temp	6	11	-5	als/when	no
4728	sc-mc	temp	5	9	-4	als/when	yes
4473	mc-sc	temp	4	6	-2	als/when	yes
1688	sc-mc	temp	18	18	0	als/when	yes
3805	mc-sc	temp	11	15	-4	als/when	yes
2472	sc-mc	temp	5	4	1	als/when	no
84	sc-mc	temp	10	20	-10	als/when	yes
997	mc-sc	temp	3	14	-11	als/when	no
998	sc-mc	temp	5	3	2	als/when	no
988	sc-mc	temp	10	12	-2	als/when	no
474	sc-mc	temp	8	11	-3	als/when	yes
4737	mc-sc	temp	4	4	0	als/when	yes
4523	mc-sc	temp	5	10	-5	als/when	yes
4805	sc-mc	temp	4	4	0	als/when	yes
4808	mc-sc	temp	6	5	1	als/when	no
4802	mc-sc	temp	6	7	-1	als/when	no
1063	sc-mc	temp	18	7	11	als/when	yes
4841	sc-mc	temp	3	4	-1	als/when	yes
4769	sc-mc	temp	10	7	3	als/when	yes
4531	mc-sc	temp	10	4	6	als/when	no
1677	mc-sc	temp	4	7	-3	als/when	yes
1649	sc-mc	temp	10	22	-12	als/when	yes
4813	sc-mc	temp	10	7	3	als/when	no
4882	sc-mc	temp	7	12	-5	als/when	yes
4293	mc-sc	temp	8	22	-14	als/when	yes
4544	sc-mc	temp	15	6	9	als/when	yes
4763	mc-sc	temp	6	9	-3	als/when	yes
4552	mc-sc	temp	11	2	9	als/when	no
4881	mc-sc	temp	10	6	4	als/when	no
3024	mc-sc	temp	7	17	-10	als/when	yes
2614	sc-mc	temp	9	4	5	als/when	yes
4069	sc-mc	temp	10	2	8	als/when	no
4278	sc-mc	temp	10	10	0	als/when	no
4861	mc-sc	temp	5	10	-5	als/when	no
2517	sc-mc	temp	16	4	12	als/when	no
4509	sc-mc	temp	8	3	5	als/when	no
941	sc-mc	temp	12	2	10	als/when	no
4838	sc-mc	temp	17	8	9	als/when	no
2619	sc-mc	temp	6	4	2	als/when	no
2530	mc-sc	temp	7	17	-10	als/when	yes
2485	sc-mc	temp	17	4	13	als/when	yes
4878	mc-sc	temp	5	10	-5	als/when	yes
4495	sc-mc	temp	10	7	3	als/when	no
4458	sc-mc	temp	9	5	4	als/when	yes
4468	sc-mc	temp	7	6	1	als/when	yes
4859	sc-mc	temp	5	2	3	als/when	yes
4610	sc-mc	temp	9	7	2	als/when	yes
1017	mc-sc	temp	3	14	-11	als/when	yes
4568	sc-mc	temp	7	16	-9	als/when	yes
1638	mc-sc	temp	5	5	0	als/when	yes
1256	mc-sc	temp	4	5	-1	als/when	no
1938	mc-sc	temp	4	3	1	als/when	yes
1724	mc-sc	temp	3	3	0	als/when	no
964	mc-sc	temp	6	3	3	als/when	no
