LineNr.	PosWords	NegWords	hasShift	NrPron	hasExcl	logNr	Label
1	13	2	1	0	0	4.90527477843843	1
2	8	2	1	0	0	4.941642422609304	0
3	10	5	0	0	0	4.77912349311153	1
4	13	3	1	0	0	4.553876891600541	1
5	12	4	1	0	1	5.497168225293202	1
6	6	2	1	0	0	4.060443010546419	1
7	20	6	1	1	0	5.68697535633982	0
8	11	5	0	0	0	4.867534450455582	0
9	16	8	1	2	0	5.488937726156687	0
10	27	18	1	0	1	5.886104031450156	0
11	9	3	1	0	0	4.543294782270004	0
12	23	8	1	0	0	5.652489180268651	1
13	14	5	1	0	0	5.043425116919247	1
14	27	1	1	2	1	5.198497031265826	1
15	12	2	1	0	1	4.897839799950911	0
16	9	1	1	1	1	4.897839799950911	0
17	6	7	1	0	0	4.442651256490317	0
18	26	10	1	0	0	5.720311776607412	0
19	13	3	1	0	1	4.844187086458591	1
20	14	1	1	0	1	4.990432586778736	1
21	6	2	1	0	1	5.003946305945459	1
22	6	5	1	0	0	4.812184355372417	0
23	36	6	1	1	0	5.736572297479192	1
24	9	4	1	0	0	5.056245805348308	1
25	11	2	1	0	1	4.770684624465665	1
26	5	5	1	0	1	4.804021044733257	1
27	20	0	0	0	0	4.941642422609304	1
28	11	2	1	0	0	4.795790545596741	0
29	4	0	0	0	0	4.48863636973214	1
30	5	0	1	0	0	4.1588830833596715	0
31	14	8	1	1	0	5.337538079701318	1
32	12	5	1	0	0	4.927253685157205	0
33	12	1	0	0	1	4.454347296253507	1
34	7	0	0	0	0	3.9512437185814275	1
35	27	25	1	0	1	6.184148890937483	1
36	11	3	1	0	0	4.394449154672439	0
37	18	2	1	0	0	5.176149732573829	1
38	7	1	1	0	0	4.543294782270004	0
39	24	5	1	0	0	5.541263545158426	0
40	20	6	1	0	0	5.272999558563747	1
41	18	5	1	0	0	4.962844630259907	1
42	21	6	1	0	0	5.634789603169249	0
43	5	6	1	0	1	4.532599493153256	0
44	2	4	1	0	1	4.394449154672439	0
45	20	8	1	1	1	5.54907608489522	0
46	13	8	1	0	0	5.0238805208462765	0
47	7	9	1	0	0	5.1298987149230735	0
48	7	6	1	0	0	4.859812404361672	0
49	12	5	1	0	0	5.123963979403259	1
50	4	3	1	0	0	4.941642422609304	1
51	20	6	1	0	1	5.093750200806762	1
52	10	5	1	0	0	4.897839799950911	0
53	3	1	1	0	0	4.174387269895637	1
54	11	4	1	0	0	4.418840607796598	0
55	17	6	1	0	0	5.541263545158426	1
56	13	2	1	0	0	5.198497031265826	0
57	14	1	1	0	1	4.7535901911063645	1
